`Code point`,`Rank 1`,`Rank 2`,`Unicode name`,`WP43 usage`,`Glyph`,`Replacement`,`Code point`
`U+0164`,296,305,`LATIN CAPITAL LETTER T WITH CARON`,`T caron`,`Ť`,`T`,`U+0054`
`U+0165`,296,306,`LATIN SMALL LETTER T WITH CARON`,`t apostrophe`,`ť`,`T`,`U+0054`
`U+0168`,307,321,`LATIN CAPITAL LETTER U WITH TILDE`,`U tilde`,`Ũ`,`U`,`U+0055`
`U+0169`,307,322,`LATIN SMALL LETTER U WITH TILDE`,`u tilde`,`ũ`,`U`,`U+0055`
`U+016a`,307,323,`LATIN CAPITAL LETTER U WITH MACRON`,`U macron`,`Ū`,`U`,`U+0055`
`U+016b`,307,324,`LATIN SMALL LETTER U WITH MACRON`,`u macron`,`ū`,`U`,`U+0055`
`U+016c`,307,325,`LATIN CAPITAL LETTER U WITH BREVE`,`U breve`,`Ŭ`,`U`,`U+0055`
`U+016d`,307,326,`LATIN SMALL LETTER U WITH BREVE`,`u breve`,`ŭ`,`U`,`U+0055`
`U+016e`,307,327,`LATIN CAPITAL LETTER U WITH RING ABOVE`,`U ring`,`Ů`,`U`,`U+0055`
`U+016f`,307,328,`LATIN SMALL LETTER U WITH RING ABOVE`,`u ring`,`ů`,`U`,`U+0055`
`U+0172`,307,329,`LATIN CAPITAL LETTER U WITH OGONEK`,`U ogonek`,`Ų`,`U`,`U+0055`
`U+0173`,307,330,`LATIN SMALL LETTER U WITH OGONEK`,`u ogonek`,`ų`,`U`,`U+0055`
`U+0174`,337,343,`LATIN CAPITAL LETTER W WITH CIRCUMFLEX`,`W circumflex`,`Ŵ`,`W`,`U+0057`
`U+0175`,337,344,`LATIN SMALL LETTER W WITH CIRCUMFLEX`,`w circumflex`,`ŵ`,`W`,`U+0057`
`U+0176`,355,363,`LATIN CAPITAL LETTER Y WITH CIRCUMFLEX`,`Y circumflex`,`Ŷ`,`Y`,`U+0059`
